Start Time,Stop Time,Start Station ID,Start Station Name,End Station ID,End Station Name,Bike ID,User Type,Birth Year,Age,Age Groups,Trip Duration,Trip_Duration_in_min,Month,Season,Temperature,Weekday
2017-01-01 14:33:00,2017-01-01 14:40:00,3202,Newport PATH,3214,Essex Light Rail,24471,Subscriber,1999,22,18-24,422,7,1,Winter,10,Sunday
2017-01-01 15:03:00,2017-01-01 15:12:00,3186,Grove St PATH,3183,Exchange Place,26265,Subscriber,1974,47,45-54,512,9,1,Winter,10,Sunday
2017-01-01 15:13:00,2017-01-01 15:16:00,3205,JC Medical Center,3275,Columbus Drive,24448,Subscriber,1984,37,35-44,226,4,1,Winter,10,Sunday
2017-01-01 15:13:00,2017-01-01 15:16:00,3205,JC Medical Center,3275,Columbus Drive,24448,Subscriber,1984,37,35-44,226,4,1,Winter,10,Sunday
2017-01-01 15:18:00,2017-01-01 15:21:00,3213,Van Vorst Park,3186,Grove St PATH,24463,Subscriber,1983,38,35-44,174,3,1,Winter,10,Sunday
2017-01-01 15:20:00,2017-01-01 15:25:00,3275,Columbus Drive,3205,JC Medical Center,24448,Subscriber,1984,37,35-44,266,4,1,Winter,10,Sunday
2017-01-01 15:21:00,2017-01-01 15:25:00,3267,Morris Canal,3183,Exchange Place,26194,Subscriber,1985,36,35-44,218,4,1,Winter,10,Sunday
2017-01-01 15:49:00,2017-01-01 15:53:00,3183,Exchange Place,3214,Essex Light Rail,24640,Subscriber,1985,36,35-44,225,4,1,Winter,10,Sunday
2017-01-01 16:03:00,2017-01-01 16:10:00,3275,Columbus Drive,3202,Newport PATH,24568,Subscriber,1992,29,25-34,380,6,1,Winter,10,Sunday
2017-01-01 16:09:00,2017-01-01 16:19:00,3270,Jersey & 6th St,3192,Liberty Light Rail,26182,Subscriber,1962,59,55-64,635,11,1,Winter,10,Sunday
2017-01-01 16:09:00,2017-01-01 16:20:00,3270,Jersey & 6th St,3192,Liberty Light Rail,26165,Subscriber,1966,55,55-64,655,11,1,Winter,10,Sunday
2017-01-01 16:10:00,2017-01-01 16:23:00,3220,5 Corners Library,3202,Newport PATH,24426,Subscriber,1969,52,45-54,801,13,1,Winter,10,Sunday
2017-01-01 16:21:00,2017-01-01 16:24:00,3211,Newark Ave,3205,JC Medical Center,26308,Subscriber,1977,44,35-44,135,2,1,Winter,10,Sunday
2017-01-01 16:21:00,2017-01-01 16:24:00,3211,Newark Ave,3205,JC Medical Center,26308,Subscriber,1977,44,35-44,135,2,1,Winter,10,Sunday
2017-01-01 16:28:00,2017-01-01 16:38:00,3186,Grove St PATH,3225,Baldwin at Montgomery,24463,Subscriber,1987,34,25-34,578,10,1,Winter,10,Sunday
2017-01-01 16:28:00,2017-01-01 16:38:00,3186,Grove St PATH,3225,Baldwin at Montgomery,24463,Subscriber,1987,34,25-34,578,10,1,Winter,10,Sunday
2017-01-01 16:41:00,2017-01-01 16:45:00,3272,Jersey & 3rd,3203,Hamilton Park,24460,Subscriber,1956,65,65-74,204,3,1,Winter,10,Sunday
2017-01-01 16:41:00,2017-01-01 16:45:00,3272,Jersey & 3rd,3203,Hamilton Park,24460,Subscriber,1956,65,65-74,204,3,1,Winter,10,Sunday
2017-01-01 16:49:00,2017-01-01 16:59:00,3192,Liberty Light Rail,3205,JC Medical Center,24641,Subscriber,1982,39,35-44,600,10,1,Winter,10,Sunday
2017-01-01 16:58:00,2017-01-01 17:09:00,3210,Pershing Field,3201,Dey St,26174,Subscriber,1973,48,45-54,641,11,1,Winter,10,Sunday
2017-01-01 16:58:00,2017-01-01 17:09:00,3210,Pershing Field,3201,Dey St,26174,Subscriber,1973,48,45-54,641,11,1,Winter,10,Sunday
2017-01-01 16:58:00,2017-01-01 17:12:00,3202,Newport PATH,3186,Grove St PATH,24426,Subscriber,1990,31,25-34,801,13,1,Winter,10,Sunday
2017-01-01 16:58:00,2017-01-01 17:12:00,3202,Newport PATH,3186,Grove St PATH,24426,Subscriber,1990,31,25-34,801,13,1,Winter,10,Sunday
2017-01-01 17:03:00,2017-01-01 17:10:00,3186,Grove St PATH,3192,Liberty Light Rail,24488,Subscriber,1981,40,35-44,447,7,1,Winter,10,Sunday
2017-01-01 17:08:00,2017-01-01 17:21:00,3203,Hamilton Park,3183,Exchange Place,26241,Subscriber,1982,39,35-44,761,13,1,Winter,10,Sunday
2017-01-01 17:30:00,2017-01-01 17:42:00,3205,JC Medical Center,3276,Marin Light Rail,24448,Subscriber,1980,41,35-44,695,12,1,Winter,10,Sunday
2017-01-01 17:31:00,2017-01-01 17:35:00,3186,Grove St PATH,3213,Van Vorst Park,24585,Subscriber,1983,38,35-44,213,4,1,Winter,10,Sunday
2017-01-01 17:31:00,2017-01-01 17:35:00,3186,Grove St PATH,3213,Van Vorst Park,24585,Subscriber,1983,38,35-44,213,4,1,Winter,10,Sunday
2017-01-01 17:37:00,2017-01-01 17:46:00,3267,Morris Canal,3187,Warren St,24426,Subscriber,1990,31,25-34,495,8,1,Winter,10,Sunday
2017-01-01 17:48:00,2017-01-01 17:58:00,3279,Dixon Mills,3202,Newport PATH,24679,Subscriber,1983,38,35-44,596,10,1,Winter,10,Sunday
2017-01-01 17:50:00,2017-01-01 17:59:00,3195,Sip Ave,3215,Central Ave,26273,Subscriber,1990,31,25-34,540,9,1,Winter,10,Sunday
2017-01-01 17:50:00,2017-01-01 18:01:00,3209,Brunswick St,3199,Newport Pkwy,26170,Subscriber,1991,30,25-34,685,11,1,Winter,10,Sunday
2017-01-01 17:50:00,2017-01-01 18:01:00,3209,Brunswick St,3199,Newport Pkwy,26170,Subscriber,1991,30,25-34,685,11,1,Winter,10,Sunday
2017-01-01 17:58:00,2017-01-01 18:10:00,3185,City Hall,3190,Garfield Ave Station,24524,Subscriber,1988,33,25-34,696,12,1,Winter,10,Sunday
2017-01-01 18:24:00,2017-01-01 18:31:00,3189,West Side Light Rail,3191,Union St,24485,Subscriber,1991,30,25-34,412,7,1,Winter,10,Sunday
2017-01-01 18:35:00,2017-01-01 18:39:00,3195,Sip Ave,3194,McGinley Square,24716,Subscriber,1983,38,35-44,211,4,1,Winter,10,Sunday
2017-01-01 18:43:00,2017-01-01 18:44:00,3213,Van Vorst Park,3185,City Hall,24662,Subscriber,1985,36,35-44,110,2,1,Winter,10,Sunday
2017-01-01 18:44:00,2017-01-01 18:48:00,3186,Grove St PATH,3205,JC Medical Center,24622,Subscriber,1989,32,25-34,242,4,1,Winter,10,Sunday
2017-01-01 18:45:00,2017-01-01 18:51:00,3185,City Hall,3192,Liberty Light Rail,24442,Subscriber,1986,35,35-44,384,6,1,Winter,10,Sunday
2017-01-01 18:55:00,2017-01-01 18:57:00,3203,Hamilton Park,3272,Jersey & 3rd,26271,Subscriber,1984,37,35-44,158,3,1,Winter,10,Sunday
2017-01-01 19:09:00,2017-01-01 19:11:00,3187,Warren St,3275,Columbus Drive,24623,Subscriber,1988,33,25-34,91,2,1,Winter,10,Sunday
2017-01-01 19:12:00,2017-01-01 19:16:00,3185,City Hall,3183,Exchange Place,26312,Subscriber,1991,30,25-34,222,4,1,Winter,10,Sunday
2017-01-01 19:22:00,2017-01-01 19:25:00,3183,Exchange Place,3267,Morris Canal,26262,Subscriber,1986,35,35-44,206,3,1,Winter,10,Sunday
2017-01-01 19:29:00,2017-01-01 19:38:00,3185,City Hall,3192,Liberty Light Rail,24662,Subscriber,1958,63,55-64,540,9,1,Winter,10,Sunday
2017-01-01 19:29:00,2017-01-01 19:38:00,3185,City Hall,3192,Liberty Light Rail,24662,Subscriber,1958,63,55-64,540,9,1,Winter,10,Sunday
